date,precipitation,temp_max,temp_min,wind,weather,month,RF_Prediction,LR_Prediction,Condition
2012-01-01,0.0,12.8,5.0,4.7,drizzle,1,12.135999999999989,12.930960371507545,Sunny ☀️
2012-01-02,10.9,10.6,2.8,4.5,rain,1,10.16100000000001,8.381446206881963,Rainy 🌧️
2012-01-03,0.8,11.7,7.2,2.3,rain,1,11.248000000000012,16.195551335212137,Rainy 🌧️
2012-01-04,20.3,12.2,5.6,4.7,rain,1,11.90400000000002,10.350592111150785,Rainy 🌧️
2012-01-05,1.3,8.9,2.8,6.1,rain,1,8.203999999999995,9.567614581282356,Rainy 🌧️
2012-01-06,2.5,4.4,2.2,2.2,rain,1,6.260999999999992,9.569759166015421,Rainy 🌧️
2012-01-07,0.0,7.2,2.8,2.3,rain,1,6.740466666666668,10.721405671635157,Sunny ☀️
2012-01-08,0.0,10.0,2.8,2.0,sun,1,9.394000000000002,10.79558390488723,Sunny ☀️
2012-01-09,4.3,9.4,5.0,3.4,rain,1,9.243999999999991,12.5438912406864,Rainy 🌧️
2012-01-10,1.0,6.1,0.6,3.4,rain,1,6.331000000000006,7.4816689152374,Rainy 🌧️
2012-01-11,0.0,6.1,-1.1,5.1,sun,1,4.739000000000005,5.060155400539919,Sunny ☀️
2012-01-12,0.0,6.1,-1.7,1.9,sun,1,4.065000000000002,5.086940643319579,Sunny ☀️
2012-01-13,0.0,5.0,-2.8,1.3,sun,1,3.4760000000000018,3.833806826879241,Sunny ☀️
2012-01-14,4.1,4.4,0.6,5.3,snow,1,5.571999999999995,6.501088498695578,Rainy 🌧️
2012-01-15,5.3,1.1,-3.3,3.2,snow,1,2.3669999999999978,1.8536928350827582,Rainy 🌧️
2012-01-16,2.5,1.7,-2.8,5.0,snow,1,3.0650000000000013,2.5070186119757008,Rainy 🌧️
2012-01-17,8.1,3.3,0.0,5.6,snow,1,4.209000000000007,5.00338367919629,Rainy 🌧️
2012-01-18,19.8,0.0,-2.8,5.0,snow,1,0.5349999999999999,-0.3434908878699279,Rainy 🌧️
2012-01-19,15.2,-1.1,-2.8,1.6,snow,1,0.6649999999999993,1.2551346978090452,Rainy 🌧️
2012-01-20,13.5,7.2,-1.1,2.3,snow,1,6.200000000000002,3.5280995516681646,Rainy 🌧️
2012-01-21,3.0,8.3,3.3,8.2,rain,1,7.967999999999996,9.40530011629286,Rainy 🌧️
2012-01-22,6.1,6.7,2.2,4.8,rain,1,8.259999999999998,8.333711537593167,Rainy 🌧️
2012-01-23,0.0,8.3,1.1,3.6,rain,1,8.66399999999999,8.234027132689247,Sunny ☀️
2012-01-24,8.6,10.0,2.2,5.1,rain,1,9.623999999999999,7.847609966213115,Rainy 🌧️
2012-01-25,8.1,8.9,4.4,5.4,rain,1,9.129,10.658796966475606,Rainy 🌧️
2012-01-26,4.8,8.9,1.1,4.8,rain,1,8.442999999999989,7.1464213904752345,Rainy 🌧️
2012-01-27,0.0,6.7,-2.2,1.4,drizzle,1,5.754,4.573529994370995,Sunny ☀️
2012-01-28,0.0,6.7,0.6,2.2,rain,1,9.064999999999987,7.943151183496881,Sunny ☀️
2012-01-29,27.7,9.4,3.9,4.5,rain,1,9.832000000000003,7.014811657606414,Rainy 🌧️
2012-01-30,3.6,8.3,6.1,5.1,rain,1,9.993999999999994,13.640376736544972,Rainy 🌧️
2012-01-31,1.8,9.4,6.1,3.9,rain,1,9.394999999999987,14.233674473005408,Rainy 🌧️
2012-02-01,13.5,8.9,3.3,2.7,rain,2,8.834999999999994,8.955572085205908,Rainy 🌧️
2012-02-02,0.0,8.3,1.7,2.6,sun,2,9.512999999999987,9.166152868201173,Sunny ☀️
2012-02-03,0.0,14.4,2.2,5.3,sun,2,10.889000000000015,9.13558980663456,Sunny ☀️
2012-02-04,0.0,15.6,5.0,4.3,sun,2,14.672999999999991,12.95028039527288,Sunny ☀️
2012-02-05,0.0,13.9,1.7,2.9,sun,2,12.190000000000003,9.091974634949102,Sunny ☀️
2012-02-06,0.0,16.1,1.7,5.0,sun,2,13.687999999999994,8.572727002184594,Sunny ☀️
2012-02-07,0.3,15.6,7.8,5.3,rain,2,14.331999999999983,16.221018628322025,Rainy 🌧️
2012-02-08,2.8,10.0,5.0,2.7,rain,2,9.227999999999998,12.884543500580595,Rainy 🌧️
2012-02-09,2.5,11.1,7.8,2.4,rain,2,11.985999999999999,16.575582345539438,Rainy 🌧️
2012-02-10,2.5,12.8,6.7,3.0,rain,2,10.753,15.025735596090808,Rainy 🌧️
2012-02-11,0.8,8.9,5.6,3.4,rain,2,9.255999999999988,13.805448872070588,Rainy 🌧️
2012-02-12,1.0,8.3,5.0,1.3,rain,2,8.808999999999989,13.527293392542411,Rainy 🌧️
2012-02-13,11.4,7.2,4.4,1.4,rain,2,9.367000000000008,11.024516982936875,Rainy 🌧️
2012-02-14,2.5,6.7,1.1,3.1,rain,2,7.389000000000002,7.866149896077293,Rainy 🌧️
2012-02-15,0.0,7.2,0.6,1.8,drizzle,2,9.95799999999999,7.962471207262217,Sunny ☀️
2012-02-16,1.8,7.2,3.3,2.1,rain,2,7.244000000000003,11.031729774149003,Rainy 🌧️
